Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Action,Stainless Games,16225,2016.0,0.01,0.01,0.0,0.0,0.01
Action,NetRevo,16303,2012.0,0.0,0.0,0.01,0.0,0.01
Action,dramatic create,16592,2016.0,0.0,0.0,0.01,0.0,0.01
Action,Inti Creates,16475,2016.0,0.0,0.0,0.01,0.0,0.01
Action,HuneX,16502,2015.0,0.0,0.0,0.01,0.0,0.01
Action,Storm City Games,16161,2010.0,0.01,0.0,0.0,0.0,0.01
Action,Yeti,16288,2012.0,0.0,0.0,0.01,0.0,0.01
Action,LEGO Media,16198,1999.0,0.0,0.01,0.0,0.0,0.01
Action,Alawar Entertainment,16112,2015.0,0.0,0.01,0.0,0.0,0.01
Action,Focus Home Interactive,16277,2015.0,0.0,0.01,0.0,0.0,0.01
Action,Epic Games,16263,2016.0,0.01,0.0,0.0,0.0,0.01
Action,Comfort,15400,2012.0,0.0,0.0,0.02,0.0,0.02
Action,UFO Interactive,15336,2011.0,0.02,0.0,0.0,0.0,0.02
Action,Cave,15512,2012.0,0.0,0.0,0.02,0.0,0.02
Action,Minato Station,15267,2012.0,0.0,0.0,0.02,0.0,0.02
Action,Mycom,15870,1985.0,0.0,0.0,0.02,0.0,0.02
Action,Neko Entertainment,15721,2010.0,0.0,0.01,0.0,0.0,0.02
Action,Saurus,15794,1998.0,0.01,0.01,0.0,0.0,0.02
Action,CyberFront,15646,2012.0,0.0,0.0,0.02,0.0,0.02
Action,Introversion Software,15085,2016.0,0.01,0.01,0.0,0.0,0.02
Action,Sold Out,15943,2016.0,0.01,0.01,0.0,0.0,0.02
Action,Views,15238,2012.0,0.0,0.0,0.02,0.0,0.02
Action,Essential Games,15811,2006.0,0.0,0.0,0.02,0.0,0.02
Action,Giza10,15825,2012.0,0.0,0.0,0.02,0.0,0.02
Action,IE Institute,15546,2012.0,0.0,0.0,0.02,0.0,0.02
Action,Zushi Games,15468,2009.0,0.0,0.02,0.0,0.0,0.02
Action,Alternative Software,15308,2015.0,0.0,0.02,0.0,0.0,0.02
Action,Maximum Family Games,14170,2012.0,0.03,0.0,0.0,0.0,0.03
Action,Encore,14465,2001.0,0.02,0.01,0.0,0.0,0.03
Action,LSP Games,14253,2002.0,0.02,0.01,0.0,0.0,0.03
Action,FuRyu Corporation,14760,2015.0,0.02,0.0,0.0,0.01,0.03
Action,Big Fish Games,14277,2014.0,0.0,0.03,0.0,0.0,0.03
Action,Prototype,14860,2012.0,0.0,0.0,0.03,0.0,0.03
Action,Berkeley,14213,2001.0,0.02,0.01,0.0,0.0,0.03
Action,Asgard,32250,4027.0,0.0,0.0,0.03,0.0,0.03
Action,Electronic Arts Victor,13480,1996.0,0.02,0.02,0.0,0.0,0.04
Action,Astragon,13553,2011.0,0.01,0.02,0.0,0.01,0.04
Action,ChunSoft,13595,2011.0,0.0,0.0,0.04,0.0,0.04
Action,Flashpoint Games,13923,2005.0,0.03,0.01,0.0,0.0,0.04
Action,"Destination Software, Inc",30791,4015.0,0.04,0.0,0.0,0.0,0.04
Action,Red Storm Entertainment,13490,2001.0,0.02,0.02,0.0,0.0,0.04
Action,DSI Games,13680,2006.0,0.04,0.0,0.0,0.0,0.04
Action,Licensed 4U,29799,4024.0,0.0,0.04,0.0,0.0,0.05
Action,Activision Value,13261,2008.0,0.04,0.0,0.0,0.0,0.05
Action,Marvel Entertainment,13027,2015.0,0.0,0.0,0.05,0.0,0.05
Action,Swing! Entertainment,13010,1998.0,0.03,0.02,0.0,0.0,0.05
Action,Nordcurrent,12928,2007.0,0.05,0.0,0.0,0.0,0.05
Action,Russel,30185,4019.0,0.0,0.0,0.05,0.0,0.05
Action,ASC Games,13127,1999.0,0.03,0.02,0.0,0.0,0.05
Action,Aksys Games,12861,2015.0,0.01,0.0,0.04,0.0,0.05
Action,Quinrose,47171,6036.0,0.0,0.0,0.05,0.0,0.05
Action,Starfish,12466,2007.0,0.06,0.0,0.0,0.0,0.06
Action,Crimson Cow,12319,2011.0,0.0,0.05,0.0,0.01,0.06
Action,JVC,12384,2000.0,0.03,0.02,0.0,0.0,0.06
Action,Compile Heart,28997,4029.0,0.0,0.0,0.06,0.0,0.06
Action,Arc System Works,46303,6042.0,0.0,0.0,0.06,0.0,0.06
Action,NewKidCo,29683,4004.0,0.05,0.01,0.0,0.0,0.060000000000000005
Action,Nobilis,29495,4016.0,0.05,0.01,0.0,0.0,0.060000000000000005
Action,MTO,46137,6021.0,0.0,0.0,0.060000000000000005,0.0,0.060000000000000005
Action,Kaga Create,45046,6045.0,0.0,0.0,0.06999999999999999,0.0,0.06999999999999999
Action,Enix Corporation,12079,2002.0,0.03,0.03,0.0,0.01,0.07
Action,Gamecock,12223,2008.0,0.06,0.0,0.0,0.0,0.07
Action,Evolution Games,12087,1998.0,0.0,0.0,0.06,0.0,0.07
Action,From Software,45692,6024.0,0.04,0.0,0.02,0.0,0.07
Action,Sunrise Interactive,12015,2000.0,0.0,0.0,0.07,0.0,0.07
Action,Success,11676,2008.0,0.07,0.0,0.0,0.01,0.08
Action,Popcorn Arcade,11406,2007.0,0.07,0.0,0.0,0.01,0.08
Action,Abylight,11502,2010.0,0.07,0.0,0.0,0.01,0.08
Action,Seventh Chord,11387,2013.0,0.0,0.0,0.08,0.0,0.08
Action,Avanquest Software,61436,8052.0,0.0,0.06999999999999999,0.0,0.0,0.08
Action,Tru Blu Entertainment,60412,8060.0,0.0,0.09,0.0,0.0,0.09
Action,Midas Interactive Entertainment,26945,4010.0,0.0,0.04,0.04,0.0,0.09
Action,Kadokawa Shoten,27097,4017.0,0.0,0.0,0.09000000000000001,0.0,0.09000000000000001
Action,Core Design Ltd.,10539,1995.0,0.06,0.04,0.0,0.01,0.1
Action,Genki,25451,4013.0,0.05,0.01,0.05,0.0,0.11
Action,Global Star,10092,2005.0,0.08,0.02,0.0,0.0,0.11
Action,Xseed Games,10396,2014.0,0.04,0.01,0.04,0.02,0.11
Action,Funbox Media,42133,6034.0,0.04,0.060000000000000005,0.0,0.01,0.11
