Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Adventure,imageepoch Inc.,16426,2014.0,0.0,0.0,0.01,0.0,0.01
Adventure,Avanquest,16053,2011.0,0.0,0.01,0.0,0.0,0.01
Adventure,DSI Games,16541,2007.0,0.01,0.0,0.0,0.0,0.01
Adventure,Nitroplus,16560,2014.0,0.0,0.0,0.01,0.0,0.01
Adventure,Cave,16047,2011.0,0.0,0.0,0.01,0.0,0.01
Adventure,Piacci,16294,2010.0,0.0,0.0,0.01,0.0,0.01
Adventure,Otomate,16352,2013.0,0.0,0.0,0.01,0.0,0.01
Adventure,Boost On,16158,2013.0,0.0,0.0,0.01,0.0,0.01
Adventure,Valcon Games,16368,2010.0,0.01,0.0,0.0,0.0,0.01
Adventure,ValuSoft,16131,2011.0,0.01,0.0,0.0,0.0,0.01
Adventure,Views,16454,2014.0,0.0,0.0,0.01,0.0,0.01
Adventure,Takuyo,16506,2011.0,0.0,0.0,0.01,0.0,0.01
Adventure,Coconuts Japan,15304,1996.0,0.01,0.01,0.0,0.0,0.02
Adventure,Crimson Cow,15827,2008.0,0.0,0.01,0.0,0.0,0.02
Adventure,Culture Brain,15713,2010.0,0.0,0.0,0.02,0.0,0.02
Adventure,Zoo Games,15173,2010.0,0.02,0.0,0.0,0.0,0.02
Adventure,Giga,15884,2014.0,0.0,0.0,0.02,0.0,0.02
Adventure,GungHo,15740,2008.0,0.0,0.0,0.02,0.0,0.02
Adventure,Taito,15530,2006.0,0.0,0.0,0.02,0.0,0.02
Adventure,Marvelous Games,15427,2015.0,0.0,0.0,0.02,0.0,0.02
Adventure,NetRevo,15300,2010.0,0.0,0.0,0.02,0.0,0.02
Adventure,Victor Interactive,15606,2002.0,0.0,0.0,0.02,0.0,0.02
Adventure,Quintet,15349,1998.0,0.0,0.0,0.02,0.0,0.02
Adventure,RED Entertainment,15975,2010.0,0.0,0.0,0.02,0.0,0.02
Adventure,Revolution (Japan),15815,2009.0,0.0,0.0,0.02,0.0,0.02
Adventure,System Soft,15917,2008.0,0.0,0.0,0.02,0.0,0.02
Adventure,HuneX,15796,2015.0,0.0,0.0,0.02,0.0,0.02
Adventure,Kaga Create,32237,4028.0,0.0,0.0,0.02,0.0,0.02
Adventure,10TACLE Studios,15709,2006.0,0.01,0.01,0.0,0.0,0.02
Adventure,Big Fish Games,15614,2008.0,0.0,0.01,0.0,0.0,0.02
Adventure,Big Ben Interactive,15361,2013.0,0.0,0.02,0.0,0.0,0.02
Adventure,Mindscape,14269,2010.0,0.02,0.01,0.0,0.0,0.03
Adventure,Minato Station,31364,4023.0,0.0,0.0,0.03,0.0,0.03
Adventure,Mastertronic,14527,2011.0,0.0,0.03,0.0,0.0,0.03
Adventure,Aspyr,14235,2008.0,0.03,0.0,0.0,0.0,0.03
Adventure,Mamba Games,14134,2008.0,0.0,0.03,0.0,0.01,0.03
Adventure,Kids Station,14908,2007.0,0.0,0.0,0.03,0.0,0.03
Adventure,Rocket Company,14891,2010.0,0.0,0.0,0.03,0.0,0.03
Adventure,Nobilis,31779,4016.0,0.0,0.02,0.01,0.0,0.03
Adventure,Headup Games,14333,2013.0,0.0,0.03,0.0,0.0,0.03
Adventure,Storm City Games,14692,2009.0,0.03,0.0,0.0,0.0,0.03
Adventure,Fuji,14229,1995.0,0.0,0.0,0.03,0.0,0.03
Adventure,Datam Polystar,31934,4009.0,0.0,0.0,0.03,0.0,0.03
Adventure,Atlus,14774,2006.0,0.0,0.0,0.03,0.0,0.03
Adventure,Her Interactive,14285,2011.0,0.03,0.0,0.0,0.0,0.03
Adventure,BushiRoad,14609,2012.0,0.0,0.0,0.03,0.0,0.03
