,Genre,Publisher,Global_Sales
0,Action,Stainless Games,0.01
1,Action,NetRevo,0.01
2,Action,dramatic create,0.01
3,Action,Inti Creates,0.01
4,Action,HuneX,0.01
5,Action,Storm City Games,0.01
6,Action,Yeti,0.01
7,Action,LEGO Media,0.01
8,Action,Alawar Entertainment,0.01
9,Action,Focus Home Interactive,0.01
10,Action,Epic Games,0.01
11,Action,Comfort,0.02
12,Action,UFO Interactive,0.02
13,Action,Cave,0.02
14,Action,Minato Station,0.02
15,Action,Mycom,0.02
16,Action,Neko Entertainment,0.02
17,Action,Saurus,0.02
18,Action,CyberFront,0.02
19,Action,Introversion Software,0.02
20,Action,Sold Out,0.02
21,Action,Views,0.02
22,Action,Essential Games,0.02
23,Action,Giza10,0.02
24,Action,IE Institute,0.02
25,Action,Zushi Games,0.02
26,Action,Alternative Software,0.02
27,Action,Maximum Family Games,0.03
28,Action,Encore,0.03
29,Action,LSP Games,0.03
30,Action,FuRyu Corporation,0.03
31,Action,Big Fish Games,0.03
32,Action,Prototype,0.03
33,Action,Berkeley,0.03
34,Action,Asgard,0.03
35,Action,Electronic Arts Victor,0.04
36,Action,Astragon,0.04
37,Action,ChunSoft,0.04
38,Action,Flashpoint Games,0.04
39,Action,"Destination Software, Inc",0.04
40,Action,Red Storm Entertainment,0.04
41,Action,DSI Games,0.04
42,Action,Licensed 4U,0.05
43,Action,Activision Value,0.05
44,Action,Marvel Entertainment,0.05
45,Action,Swing! Entertainment,0.05
46,Action,Nordcurrent,0.05
47,Action,Russel,0.05
48,Action,ASC Games,0.05
49,Action,Aksys Games,0.05
50,Action,Quinrose,0.05
51,Action,Starfish,0.06
52,Action,Crimson Cow,0.06
53,Action,JVC,0.06
54,Action,Compile Heart,0.06
55,Action,Arc System Works,0.06
56,Action,NewKidCo,0.060000000000000005
57,Action,Nobilis,0.060000000000000005
58,Action,MTO,0.060000000000000005
59,Action,Kaga Create,0.06999999999999999
60,Action,Enix Corporation,0.07
61,Action,Gamecock,0.07
62,Action,Evolution Games,0.07
63,Action,From Software,0.07
64,Action,Sunrise Interactive,0.07
65,Action,Success,0.08
66,Action,Popcorn Arcade,0.08
67,Action,Abylight,0.08
68,Action,Seventh Chord,0.08
69,Action,Avanquest Software,0.08
70,Action,Tru Blu Entertainment,0.09
71,Action,Midas Interactive Entertainment,0.09
72,Action,Kadokawa Shoten,0.09000000000000001
73,Action,Core Design Ltd.,0.1
74,Action,Genki,0.11
75,Action,Global Star,0.11
76,Action,Xseed Games,0.11
77,Action,Funbox Media,0.11
78,Action,Takara,0.12000000000000001
79,Action,Insomniac Games,0.12000000000000001
80,Action,SCS Software,0.13
81,Action,5pb,0.13
82,Action,Telstar,0.13
83,Action,Excalibur Publishing,0.14
84,Action,Microids,0.15
85,Action,Black Bean Games,0.15
86,Action,JoWood Productions,0.15
87,Action,Jaleco,0.15000000000000002
88,Action,Irem Software Engineering,0.16
89,Action,PlayV,0.16
90,Action,Vir2L Studios,0.16
91,Action,Telltale Games,0.16
92,Action,Acquire,0.16
93,Action,Avalon Interactive,0.17
94,Action,Atlus,0.17
95,Action,Rocket Company,0.17
96,Action,Gremlin Interactive Ltd,0.17
97,Action,Adeline Software,0.17
98,Action,Alchemist,0.19
99,Action,Video System,0.19
100,Action,Agatsuma Entertainment,0.2
101,Action,Oxygen Interactive,0.2
102,Action,Kalypso Media,0.21
103,Action,GungHo,0.21000000000000002
104,Action,Bomb,0.22
105,Action,Agetec,0.22999999999999998
106,Action,American Softworks,0.23
107,Action,Knowledge Adventure,0.24
108,Action,Taito,0.24
109,Action,Kadokawa Games,0.27
110,Action,Zoo Games,0.27
111,Action,Blast! Entertainment Ltd,0.27
112,Action,Broccoli,0.28
113,Action,Hamster Corporation,0.28
114,Action,GameMill Entertainment,0.3
115,Action,Banpresto,0.30000000000000004
116,Action,CBS Electronics,0.31
117,Action,CokeM Interactive,0.31
118,Action,Hip Interactive,0.33
119,Action,Starpath Corp.,0.33
120,Action,ITT Family Games,0.34
121,Action,City Interactive,0.34
122,Action,Laguna,0.35
123,Action,Game Factory,0.3600000000000001
124,Action,Conspiracy Entertainment,0.37
125,Action,Tomy Corporation,0.37
126,Action,Imagic,0.37
127,Action,Scholastic Inc.,0.37
128,Action,TDK Core,0.37
129,Action,Mindscape,0.38
130,Action,Nihon Falcom Corporation,0.43
131,Action,SCi,0.45999999999999996
132,Action,Activision Blizzard,0.48
133,Action,Avanquest,0.4800000000000001
134,Action,Fox Interactive,0.49
135,Action,Answer Software,0.5
136,Action,Idea Factory International,0.5
137,Action,Ackkstudios,0.51
138,Action,FuRyu,0.51
139,Action,DTP Entertainment,0.52
140,Action,Nippon Columbia,0.53
141,Action,Screenlife,0.54
142,Action,CPG Products,0.54
143,Action,Takara Tomy,0.56
144,Action,Titus,0.5700000000000001
145,Action,Wanadoo,0.6000000000000001
146,Action,Wizard Video Games,0.62
147,Action,Universal Gamex,0.63
148,Action,Kemco,0.63
149,Action,PQube,0.6300000000000001
150,Action,Idea Factory,0.6400000000000003
151,Action,Rondomedia,0.65
152,Action,Nordic Games,0.6500000000000001
153,Action,Playlogic Game Factory,0.68
154,Action,Empire Interactive,0.69
155,Action,Illusion Softworks,0.7
156,Action,Data Age,0.71
157,Action,Gamebridge,0.73
158,Action,Destineer,0.7500000000000001
159,Action,Ignition Entertainment,0.76
160,Action,Men-A-Vision,0.77
161,Action,Infogrames,0.77
162,Action,Zoo Digital Publishing,0.7800000000000001
163,Action,Marvelous Interactive,0.8
164,Action,Mystique,0.82
165,Action,"mixi, Inc",0.86
166,Action,SouthPeak Games,0.9100000000000001
167,Action,Little Orbit,0.9200000000000004
