Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Fighting,Jaleco,16196,1999.0,0.01,0.01,0.0,0.0,0.01
Fighting,Nitroplus,16301,2015.0,0.0,0.0,0.01,0.0,0.01
Fighting,Taito,16183,2007.0,0.0,0.0,0.01,0.0,0.01
Fighting,Metro 3D,14941,2003.0,0.02,0.01,0.0,0.0,0.02
Fighting,Yeti,15889,2016.0,0.0,0.0,0.02,0.0,0.02
Fighting,Sunrise Interactive,15632,2006.0,0.0,0.0,0.02,0.0,0.02
Fighting,Kokopeli Digital Studios,14526,1995.0,0.02,0.01,0.0,0.0,0.03
Fighting,G.Rev,14494,2010.0,0.0,0.0,0.03,0.0,0.03
Fighting,Tryfirst,14667,2008.0,0.0,0.0,0.03,0.0,0.03
Fighting,ESP,14636,2002.0,0.0,0.0,0.03,0.0,0.03
Fighting,Broccoli,30928,4016.0,0.0,0.0,0.03,0.0,0.03
Fighting,5pb,13811,2011.0,0.02,0.0,0.02,0.0,0.04
Fighting,Playmore,13516,2002.0,0.0,0.0,0.04,0.0,0.04
Fighting,Imagineer,13117,1999.0,0.04,0.01,0.0,0.0,0.05
Fighting,Yuke's,29849,4013.0,0.0,0.0,0.05,0.0,0.05
Fighting,Ecole,12580,2009.0,0.0,0.0,0.06,0.0,0.06
Fighting,Falcom Corporation,12298,2010.0,0.0,0.0,0.06,0.0,0.06
Fighting,Irem Software Engineering,12330,2008.0,0.05,0.0,0.01,0.0,0.06
Fighting,Grand Prix Games,12661,2007.0,0.0,0.0,0.06,0.0,0.06
Fighting,Sunsoft,29231,3988.0,0.0,0.0,0.06,0.0,0.06
Fighting,Take-Two Interactive,12559,2012.0,0.06,0.0,0.0,0.0,0.06
Fighting,NewKidCo,12069,2003.0,0.05,0.01,0.0,0.0,0.07
Fighting,Screenlife,11781,2015.0,0.0,0.0,0.07,0.0,0.07
Fighting,Enterbrain,12088,2002.0,0.03,0.03,0.0,0.01,0.07
Fighting,Midas Interactive Entertainment,11770,2000.0,0.04,0.03,0.0,0.0,0.07
Fighting,Cloud Imperium Games Corporation,27483,4024.0,0.08,0.0,0.0,0.0,0.08
Fighting,Game Factory,26550,4014.0,0.09,0.0,0.0,0.0,0.09
Fighting,Asmik Ace Entertainment,10757,1996.0,0.0,0.0,0.09,0.01,0.1
Fighting,Natsume,10638,1997.0,0.08,0.02,0.0,0.0,0.1
Fighting,Aqua Plus,10635,2012.0,0.05,0.0,0.05,0.01,0.1
Fighting,Time Warner Interactive,10038,1994.0,0.06,0.04,0.0,0.01,0.11
Fighting,BAM! Entertainment,10273,2000.0,0.06,0.04,0.0,0.01,0.11
Fighting,JVC,9987,1994.0,0.0,0.0,0.12,0.0,0.12
Fighting,Angel Studios,9921,1994.0,0.0,0.0,0.12,0.0,0.12
Fighting,Hudson Soft,54179,8005.0,0.07,0.02,0.08,0.0,0.17
Fighting,Agetec,8321,1998.0,0.05,0.04,0.07,0.01,0.17
Fighting,Global Star,8179,2004.0,0.09,0.07,0.0,0.02,0.18
Fighting,Deep Silver,21659,4027.0,0.11000000000000001,0.03,0.03,0.02,0.19
Fighting,AQ Interactive,23101,4016.0,0.06,0.05,0.07,0.02,0.19
Fighting,Interplay,7413,1997.0,0.17,0.04,0.0,0.0,0.21
Fighting,SouthPeak Games,36273,6019.0,0.16,0.04,0.0,0.01,0.21000000000000002
Fighting,Ocean,21308,3993.0,0.16,0.05,0.0,0.0,0.22
Fighting,Xing Entertainment,6817,1997.0,0.04,0.03,0.16,0.02,0.24
Fighting,Spike,19390,4003.0,0.09,0.03,0.12,0.0,0.25
Fighting,Banpresto,84235,12020.0,0.07,0.03,0.12,0.03,0.25
Fighting,D3Publisher,34255,6024.0,0.11,0.01,0.13,0.0,0.26
Fighting,Vic Tokai,18541,3993.0,0.19,0.08,0.0,0.01,0.27
Fighting,Zoo Digital Publishing,33469,6018.0,0.22999999999999998,0.03,0.0,0.02,0.28
Fighting,Majesco Entertainment,33445,6018.0,0.24,0.01,0.02,0.02,0.28
Fighting,Unknown,81405,2007.0,0.15999999999999998,0.05,0.07,0.0,0.29000000000000004
Fighting,Marvelous Interactive,129407,18074.0,0.06999999999999999,0.02,0.19999999999999998,0.0,0.30000000000000004
Fighting,Universal Interactive,5813,2002.0,0.23,0.07,0.0,0.01,0.31
Fighting,New,5247,1995.0,0.0,0.0,0.33,0.02,0.36
Fighting,Marvelous Entertainment,5210,2013.0,0.13,0.02,0.16,0.05,0.36
Fighting,Ultravision,4153,0.0,0.44,0.03,0.0,0.0,0.47
Fighting,Empire Interactive,4173,2000.0,0.05,0.04,0.38,0.01,0.47
Fighting,Crave Entertainment,56369,10041.0,0.36000000000000004,0.08,0.0,0.03,0.47000000000000003
Fighting,Vivendi Games,40334,8014.0,0.29,0.16,0.0,0.04,0.49999999999999994
Fighting,3DO,3665,2000.0,0.31,0.21,0.0,0.04,0.55
Fighting,Infogrames,15017,4000.0,0.38,0.16,0.0,0.02,0.55
Fighting,Sammy Corporation,39223,8011.0,0.19,0.14,0.24,0.04,0.6099999999999999
