Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Misc,Global A Entertainment,16019,2008.0,0.0,0.0,0.01,0.0,0.01
Misc,Creative Core,16339,2008.0,0.0,0.0,0.01,0.0,0.01
Misc,Banpresto,16111,2007.0,0.0,0.0,0.01,0.0,0.01
Misc,Kalypso Media,16539,2011.0,0.0,0.01,0.0,0.0,0.01
Misc,Naxat Soft,16264,2008.0,0.0,0.0,0.01,0.0,0.01
Misc,Media Entertainment,16063,2002.0,0.0,0.0,0.01,0.0,0.01
Misc,Focus Home Interactive,16516,2006.0,0.0,0.01,0.0,0.0,0.01
Misc,Commseed,16460,2008.0,0.0,0.0,0.01,0.0,0.01
Misc,Culture Brain,15765,2008.0,0.0,0.0,0.02,0.0,0.02
Misc,PlayV,14932,2009.0,0.0,0.02,0.0,0.0,0.02
Misc,Atlus,15547,2006.0,0.0,0.0,0.02,0.0,0.02
Misc,Mirai Shounen,15668,2008.0,0.0,0.0,0.02,0.0,0.02
Misc,Arika,15962,2002.0,0.01,0.01,0.0,0.0,0.02
Misc,Plenty,15190,2011.0,0.0,0.0,0.02,0.0,0.02
Misc,Happinet,15584,2015.0,0.0,0.0,0.02,0.0,0.02
Misc,Focus Multimedia,15498,2015.0,0.0,0.02,0.0,0.0,0.02
Misc,Karin Entertainment,15503,2010.0,0.0,0.0,0.02,0.0,0.02
Misc,Kadokawa Shoten,15605,2011.0,0.0,0.0,0.02,0.0,0.02
Misc,Victor Interactive,14930,1995.0,0.0,0.0,0.02,0.0,0.02
Misc,Paradox Interactive,14331,2010.0,0.0,0.03,0.0,0.0,0.03
Misc,KSS,14359,1996.0,0.0,0.0,0.03,0.0,0.03
Misc,HMH Interactive,14113,2008.0,0.0,0.03,0.0,0.0,0.03
Misc,Mastertronic,14642,2011.0,0.0,0.03,0.0,0.0,0.03
Misc,Kamui,14313,2010.0,0.0,0.0,0.03,0.0,0.03
Misc,Dorart,31852,4018.0,0.0,0.0,0.03,0.0,0.03
Misc,Marvelous Interactive,32102,4028.0,0.0,0.0,0.03,0.0,0.03
Misc,Midas Interactive Entertainment,14142,2008.0,0.0,0.03,0.0,0.0,0.03
Misc,Fields,14145,2012.0,0.0,0.0,0.03,0.0,0.03
Misc,Paon Corporation,14892,2013.0,0.0,0.0,0.03,0.0,0.03
Misc,Neko Entertainment,14321,2007.0,0.03,0.0,0.0,0.0,0.03
Misc,Level 5,14271,2015.0,0.0,0.0,0.03,0.0,0.03
Misc,ASK,14320,1996.0,0.0,0.0,0.03,0.0,0.03
Misc,7G//AMES,14693,2011.0,0.0,0.02,0.0,0.0,0.03
Misc,Psygnosis,14718,1997.0,0.02,0.01,0.0,0.0,0.03
Misc,Tomy Corporation,14851,2009.0,0.02,0.0,0.0,0.0,0.03
Misc,Sunsoft,14569,1995.0,0.0,0.0,0.03,0.0,0.03
Misc,Media Works,13500,1996.0,0.0,0.0,0.04,0.0,0.04
Misc,Virtual Play Games,13739,2010.0,0.04,0.0,0.0,0.0,0.04
Misc,Natsume,13468,2010.0,0.04,0.0,0.0,0.0,0.04
Misc,Avanquest Software,31258,4027.0,0.0,0.04,0.0,0.0,0.04
Misc,Gakken,31369,4014.0,0.0,0.0,0.04,0.0,0.04
Misc,Virgin Interactive,13514,1997.0,0.02,0.02,0.0,0.0,0.04
Misc,GungHo,14001,2008.0,0.0,0.0,0.04,0.0,0.04
Misc,PQube,13504,2011.0,0.0,0.04,0.0,0.01,0.04
Misc,Storm City Games,13910,2010.0,0.04,0.0,0.0,0.0,0.04
Misc,CyberFront,31027,4022.0,0.01,0.0,0.03,0.0,0.04
