Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Simulation,Happinet,16075,2015.0,0.0,0.0,0.01,0.0,0.01
Misc,Commseed,16460,2008.0,0.0,0.0,0.01,0.0,0.01
Misc,Kalypso Media,16539,2011.0,0.0,0.01,0.0,0.0,0.01
Simulation,UIG Entertainment,16573,2016.0,0.0,0.01,0.0,0.0,0.01
Shooter,LSP Games,16284,2003.0,0.01,0.0,0.0,0.0,0.01
Strategy,Ackkstudios,16017,2012.0,0.0,0.0,0.01,0.0,0.01
Racing,Mastertronic,16124,2012.0,0.0,0.01,0.0,0.0,0.01
Simulation,Success,16173,2009.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,1C Company,16452,2009.0,0.0,0.01,0.0,0.0,0.01
Fighting,Nitroplus,16301,2015.0,0.0,0.0,0.01,0.0,0.01
Puzzle,Success,16521,2000.0,0.01,0.0,0.0,0.0,0.01
Strategy,Ascaron Entertainment,16292,2012.0,0.0,0.01,0.0,0.0,0.01
Role-Playing,TopWare Interactive,16046,2015.0,0.0,0.01,0.0,0.0,0.01
Misc,Creative Core,16339,2008.0,0.0,0.0,0.01,0.0,0.01
Action,LEGO Media,16198,1999.0,0.0,0.01,0.0,0.0,0.01
Action,Storm City Games,16161,2010.0,0.01,0.0,0.0,0.0,0.01
Puzzle,Liquid Games,16323,2006.0,0.01,0.0,0.0,0.0,0.01
Misc,Media Entertainment,16063,2002.0,0.0,0.0,0.01,0.0,0.01
Adventure,DSI Games,16541,2007.0,0.01,0.0,0.0,0.0,0.01
Shooter,Jaleco,16138,1999.0,0.01,0.01,0.0,0.0,0.01
Role-Playing,Arc System Works,16243,2013.0,0.0,0.0,0.01,0.0,0.01
Action,dramatic create,16592,2016.0,0.0,0.0,0.01,0.0,0.01
Sports,"Interworks Unlimited, Inc.",16084,2012.0,0.01,0.0,0.0,0.0,0.01
Action,HuneX,16502,2015.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,SNK Playmore,16012,2008.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,Michaelsoft,16045,2006.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,Irem Software Engineering,15992,2011.0,0.0,0.0,0.01,0.0,0.01
Adventure,Avanquest,16053,2011.0,0.0,0.01,0.0,0.0,0.01
Action,Yeti,16288,2012.0,0.0,0.0,0.01,0.0,0.01
Misc,Banpresto,16111,2007.0,0.0,0.0,0.01,0.0,0.01
Fighting,Taito,16183,2007.0,0.0,0.0,0.01,0.0,0.01
Adventure,Boost On,16158,2013.0,0.0,0.0,0.01,0.0,0.01
Shooter,G.Rev,16266,2009.0,0.0,0.0,0.01,0.0,0.01
Action,Focus Home Interactive,16277,2015.0,0.0,0.01,0.0,0.0,0.01
Adventure,Cave,16047,2011.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,Broccoli,16140,2009.0,0.0,0.0,0.01,0.0,0.01
Action,Epic Games,16263,2016.0,0.01,0.0,0.0,0.0,0.01
Action,Inti Creates,16475,2016.0,0.0,0.0,0.01,0.0,0.01
Simulation,Ongakukan,16425,2006.0,0.0,0.0,0.01,0.0,0.01
Puzzle,Genterprise,16077,2009.0,0.0,0.0,0.01,0.0,0.01
Simulation,Paradox Development,16347,2016.0,0.0,0.01,0.0,0.0,0.01
Fighting,Jaleco,16196,1999.0,0.01,0.01,0.0,0.0,0.01
Strategy,Koch Media,16477,2016.0,0.0,0.01,0.0,0.0,0.01
Simulation,Blue Byte,16070,2001.0,0.0,0.01,0.0,0.0,0.01
Strategy,EON Digital Entertainment,16242,1999.0,0.01,0.0,0.0,0.0,0.01
Action,Alawar Entertainment,16112,2015.0,0.0,0.01,0.0,0.0,0.01
Misc,Global A Entertainment,16019,2008.0,0.0,0.0,0.01,0.0,0.01
Strategy,New World Computing,16076,1992.0,0.01,0.0,0.0,0.0,0.01
Platform,Rain Games,16568,2015.0,0.0,0.01,0.0,0.0,0.01
Adventure,Takuyo,16506,2011.0,0.0,0.0,0.01,0.0,0.01
Adventure,ValuSoft,16131,2011.0,0.01,0.0,0.0,0.0,0.01
Adventure,Views,16454,2014.0,0.0,0.0,0.01,0.0,0.01
Action,NetRevo,16303,2012.0,0.0,0.0,0.01,0.0,0.01
Misc,Focus Home Interactive,16516,2006.0,0.0,0.01,0.0,0.0,0.01
Adventure,imageepoch Inc.,16426,2014.0,0.0,0.0,0.01,0.0,0.01
Strategy,Trion Worlds,16569,2012.0,0.01,0.0,0.0,0.0,0.01
Adventure,Valcon Games,16368,2010.0,0.01,0.0,0.0,0.0,0.01
Platform,Titus,16241,2001.0,0.01,0.0,0.0,0.0,0.01
Simulation,CDV Software Entertainment,16033,2008.0,0.0,0.01,0.0,0.0,0.01
Sports,"Destination Software, Inc",16448,2004.0,0.01,0.0,0.0,0.0,0.01
Puzzle,7G//AMES,16599,2010.0,0.0,0.01,0.0,0.0,0.01
Adventure,Nitroplus,16560,2014.0,0.0,0.0,0.01,0.0,0.01
Misc,Naxat Soft,16264,2008.0,0.0,0.0,0.01,0.0,0.01
Adventure,Otomate,16352,2013.0,0.0,0.0,0.01,0.0,0.01
Strategy,Gust,16376,1996.0,0.0,0.0,0.01,0.0,0.01
Strategy,Funbox Media,16314,2015.0,0.0,0.01,0.0,0.0,0.01
Action,Stainless Games,16225,2016.0,0.01,0.01,0.0,0.0,0.01
Strategy,Interchannel-Holon,16513,2007.0,0.0,0.0,0.01,0.0,0.01
Adventure,Piacci,16294,2010.0,0.0,0.0,0.01,0.0,0.01
Shooter,UFO Interactive,15500,2009.0,0.02,0.0,0.0,0.0,0.02
Shooter,Funsta,15820,2006.0,0.02,0.0,0.0,0.0,0.02
Role-Playing,Victor Interactive,15456,2001.0,0.01,0.01,0.0,0.0,0.02
Misc,Focus Multimedia,15498,2015.0,0.0,0.02,0.0,0.0,0.02
Misc,Happinet,15584,2015.0,0.0,0.0,0.02,0.0,0.02
Shooter,Visco,15831,2011.0,0.02,0.0,0.0,0.0,0.02
Simulation,Hamster Corporation,15522,2006.0,0.0,0.0,0.02,0.0,0.02
Action,Views,15238,2012.0,0.0,0.0,0.02,0.0,0.02
Shooter,Devolver Digital,15134,2010.0,0.0,0.02,0.0,0.0,0.02
Action,Zushi Games,15468,2009.0,0.0,0.02,0.0,0.0,0.02
Shooter,Warashi,15902,2007.0,0.0,0.0,0.02,0.0,0.02
Shooter,Lexicon Entertainment,15330,2008.0,0.02,0.0,0.0,0.0,0.02
Fighting,Metro 3D,14941,2003.0,0.02,0.01,0.0,0.0,0.02
Shooter,Phoenix Games,15354,2007.0,0.02,0.0,0.0,0.0,0.02
Shooter,Gaga,15188,1996.0,0.0,0.0,0.02,0.0,0.02
Action,UFO Interactive,15336,2011.0,0.02,0.0,0.0,0.0,0.02
Simulation,DSI Games,15398,2007.0,0.02,0.0,0.0,0.0,0.02
Shooter,Jack of All Games,15158,2011.0,0.02,0.0,0.0,0.0,0.02
Shooter,Nippon Ichi Software,15949,2016.0,0.01,0.0,0.0,0.0,0.02
Shooter,MC2 Entertainment,15838,2005.0,0.0,0.01,0.0,0.0,0.02
Simulation,Astragon,14969,2016.0,0.0,0.02,0.0,0.0,0.02
Shooter,Kemco,15366,2005.0,0.02,0.0,0.0,0.0,0.02
Action,Saurus,15794,1998.0,0.01,0.01,0.0,0.0,0.02
Action,Sold Out,15943,2016.0,0.01,0.01,0.0,0.0,0.02
Simulation,Graphsim Entertainment,15076,2005.0,0.0,0.02,0.0,0.0,0.02
Simulation,Ghostlight,15492,2008.0,0.0,0.02,0.0,0.0,0.02
Puzzle,O3 Entertainment,15817,2006.0,0.02,0.0,0.0,0.0,0.02
Role-Playing,Takara,15128,2002.0,0.0,0.0,0.02,0.0,0.02
Puzzle,Licensed 4U,15501,2012.0,0.0,0.02,0.0,0.0,0.02
Adventure,Marvelous Games,15427,2015.0,0.0,0.0,0.02,0.0,0.02
Puzzle,Devolver Digital,15542,2015.0,0.0,0.02,0.0,0.0,0.02
Misc,Mirai Shounen,15668,2008.0,0.0,0.0,0.02,0.0,0.02
Puzzle,DHM Interactive,15594,2007.0,0.02,0.0,0.0,0.0,0.02
Adventure,NetRevo,15300,2010.0,0.0,0.0,0.02,0.0,0.02
Platform,Storm City Games,15787,2011.0,0.02,0.0,0.0,0.0,0.02
Adventure,Quintet,15349,1998.0,0.0,0.0,0.02,0.0,0.02
Adventure,RED Entertainment,15975,2010.0,0.0,0.0,0.02,0.0,0.02
Adventure,Revolution (Japan),15815,2009.0,0.0,0.0,0.02,0.0,0.02
Platform,NewKidCo,15916,2003.0,0.01,0.0,0.0,0.0,0.02
Platform,Natsume,15384,2006.0,0.01,0.01,0.0,0.0,0.02
Misc,PlayV,14932,2009.0,0.0,0.02,0.0,0.0,0.02
Adventure,System Soft,15917,2008.0,0.0,0.0,0.02,0.0,0.02
Platform,Destineer,15266,2010.0,0.02,0.0,0.0,0.0,0.02
Adventure,Taito,15530,2006.0,0.0,0.0,0.02,0.0,0.02
Platform,Big Ben Interactive,15659,2008.0,0.02,0.0,0.0,0.0,0.02
Misc,Plenty,15190,2011.0,0.0,0.0,0.02,0.0,0.02
Adventure,Victor Interactive,15606,2002.0,0.0,0.0,0.02,0.0,0.02
Misc,Victor Interactive,14930,1995.0,0.0,0.0,0.02,0.0,0.02
Adventure,Zoo Games,15173,2010.0,0.02,0.0,0.0,0.0,0.02
Puzzle,Micro Cabin,14999,1994.0,0.0,0.0,0.02,0.0,0.02
Puzzle,Neko Entertainment,15607,2009.0,0.01,0.01,0.0,0.0,0.02
Puzzle,P2 Games,15223,2009.0,0.02,0.0,0.0,0.0,0.02
