Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Platform,Titus,16241,2001.0,0.01,0.0,0.0,0.0,0.01
Platform,Rain Games,16568,2015.0,0.0,0.01,0.0,0.0,0.01
Platform,NewKidCo,15916,2003.0,0.01,0.0,0.0,0.0,0.02
Platform,Destineer,15266,2010.0,0.02,0.0,0.0,0.0,0.02
Platform,Natsume,15384,2006.0,0.01,0.01,0.0,0.0,0.02
Platform,Storm City Games,15787,2011.0,0.02,0.0,0.0,0.0,0.02
Platform,Big Ben Interactive,15659,2008.0,0.02,0.0,0.0,0.0,0.02
Platform,Intergrow,14480,2015.0,0.0,0.0,0.03,0.0,0.03
Platform,Evolved Games,31590,4008.0,0.02,0.01,0.0,0.0,0.03
Platform,Number None,14529,2009.0,0.0,0.02,0.0,0.01,0.03
Platform,Play It,14227,2005.0,0.02,0.01,0.0,0.0,0.03
Platform,Cygames,14397,2015.0,0.0,0.0,0.03,0.0,0.03
Platform,Conspiracy Entertainment,14203,2002.0,0.02,0.01,0.0,0.0,0.03
Platform,Psygnosis,14782,1996.0,0.01,0.01,0.0,0.0,0.03
Platform,Atlus,14646,2012.0,0.0,0.03,0.0,0.0,0.03
Platform,Wanadoo,32278,4006.0,0.02,0.0,0.0,0.0,0.03
Platform,Swing! Entertainment,14310,2001.0,0.02,0.01,0.0,0.0,0.03
Platform,Agatsuma Entertainment,14228,2013.0,0.0,0.0,0.03,0.0,0.03
Platform,Banpresto,13547,1995.0,0.0,0.0,0.04,0.0,0.04
Platform,Flashpoint Games,13576,2010.0,0.04,0.0,0.0,0.0,0.04
Platform,JoWood Productions,31748,4010.0,0.02,0.01,0.0,0.0,0.04
Platform,Gremlin Interactive Ltd,12939,1997.0,0.03,0.02,0.0,0.0,0.05
Platform,U.S. Gold,13224,1995.0,0.03,0.02,0.0,0.0,0.05
Platform,ESP,13253,1998.0,0.03,0.02,0.0,0.0,0.05
Platform,DreamCatcher Interactive,13182,2001.0,0.02,0.02,0.0,0.01,0.05
Platform,Phenomedia,13383,2007.0,0.04,0.0,0.0,0.0,0.05
Platform,Midas Interactive Entertainment,13168,2001.0,0.02,0.02,0.0,0.01,0.05
Platform,Oxygen Interactive,29571,4018.0,0.04,0.0,0.0,0.0,0.06
Platform,Focus Home Interactive,29845,4024.0,0.0,0.04,0.0,0.01,0.06
Platform,LEGO Media,12383,2001.0,0.04,0.02,0.0,0.0,0.06
Platform,Metro 3D,12011,2007.0,0.06,0.0,0.0,0.0,0.07
Platform,Asylum Entertainment,11932,2011.0,0.0,0.06,0.0,0.01,0.07
Platform,Popcorn Arcade,28540,4015.0,0.06,0.0,0.0,0.0,0.07
Platform,LSP Games,27283,4006.0,0.05,0.03,0.0,0.01,0.08
Platform,Hudson Entertainment,11402,2001.0,0.06,0.02,0.0,0.0,0.08
Platform,Deep Silver,45471,6048.0,0.060000000000000005,0.01,0.0,0.01,0.08
Platform,Rising Star Games,28162,4016.0,0.05,0.02,0.0,0.0,0.08
Platform,Tecmo Koei,11092,2008.0,0.02,0.01,0.05,0.01,0.09
Platform,Ignition Entertainment,42835,6021.0,0.09000000000000001,0.01,0.0,0.0,0.1
Platform,Game Factory,60293,8022.0,0.07999999999999999,0.01,0.0,0.0,0.1
Platform,Sunsoft,10221,1997.0,0.09,0.02,0.0,0.0,0.11
Platform,SCi,25191,4006.0,0.07,0.04,0.0,0.01,0.12000000000000001
Platform,DreamWorks Interactive,9621,1998.0,0.07,0.05,0.0,0.01,0.13
Platform,3DO,9568,2001.0,0.06,0.05,0.0,0.02,0.13
