Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Puzzle,Liquid Games,16323,2006.0,0.01,0.0,0.0,0.0,0.01
Puzzle,Success,16521,2000.0,0.01,0.0,0.0,0.0,0.01
Puzzle,7G//AMES,16599,2010.0,0.0,0.01,0.0,0.0,0.01
Puzzle,Genterprise,16077,2009.0,0.0,0.0,0.01,0.0,0.01
Puzzle,O3 Entertainment,15817,2006.0,0.02,0.0,0.0,0.0,0.02
Puzzle,Licensed 4U,15501,2012.0,0.0,0.02,0.0,0.0,0.02
Puzzle,Micro Cabin,14999,1994.0,0.0,0.0,0.02,0.0,0.02
Puzzle,Neko Entertainment,15607,2009.0,0.01,0.01,0.0,0.0,0.02
Puzzle,P2 Games,15223,2009.0,0.02,0.0,0.0,0.0,0.02
Puzzle,DHM Interactive,15594,2007.0,0.02,0.0,0.0,0.0,0.02
Puzzle,Devolver Digital,15542,2015.0,0.0,0.02,0.0,0.0,0.02
Puzzle,System 3 Arcade Software,15421,2006.0,0.01,0.0,0.0,0.0,0.02
Puzzle,CDV Software Entertainment,14855,2011.0,0.02,0.0,0.0,0.0,0.03
Puzzle,Focus Multimedia,31586,4024.0,0.0,0.03,0.0,0.0,0.03
Puzzle,Hudson Entertainment,31655,4014.0,0.0,0.0,0.03,0.0,0.03
Puzzle,Pinnacle,14383,2008.0,0.0,0.03,0.0,0.0,0.03
Puzzle,10TACLE Studios,14132,2007.0,0.0,0.03,0.0,0.0,0.03
Puzzle,Ivolgamus,13998,2008.0,0.03,0.0,0.0,0.0,0.04
Puzzle,Rage Software,13863,2001.0,0.03,0.01,0.0,0.0,0.04
Puzzle,2D Boy,14013,2008.0,0.0,0.03,0.0,0.01,0.04
Puzzle,Conspiracy Entertainment,48126,6018.0,0.03,0.0,0.0,0.0,0.04
Puzzle,Koch Media,13869,2015.0,0.0,0.04,0.0,0.0,0.04
Puzzle,MediaQuest,13272,1995.0,0.03,0.02,0.0,0.0,0.05
Puzzle,Kemco,46950,6006.0,0.04,0.01,0.0,0.0,0.05
Puzzle,Pow,13257,1995.0,0.0,0.0,0.05,0.0,0.05
Puzzle,JoWood Productions,12975,2008.0,0.05,0.0,0.0,0.0,0.05
Puzzle,Easy Interactive,30696,4024.0,0.0,0.03,0.0,0.0,0.05
Puzzle,HAL Laboratory,12638,1989.0,0.06,0.0,0.0,0.0,0.06
Puzzle,Psygnosis,12587,1995.0,0.03,0.02,0.0,0.0,0.06
Puzzle,iWin,12246,2011.0,0.0,0.05,0.0,0.01,0.06
Puzzle,DTP Entertainment,29174,4018.0,0.01,0.04,0.0,0.0,0.06
Puzzle,Zushi Games,28133,4018.0,0.06,0.01,0.0,0.0,0.07
