Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Racing,Mastertronic,16124,2012.0,0.0,0.01,0.0,0.0,0.01
Racing,Wanadoo,15737,2005.0,0.01,0.0,0.0,0.0,0.02
Racing,Virgin Interactive,14993,1998.0,0.01,0.01,0.0,0.0,0.02
Racing,Sunrise Interactive,15776,2007.0,0.0,0.0,0.02,0.0,0.02
Racing,O-Games,15760,2009.0,0.02,0.0,0.0,0.0,0.02
Racing,Encore,32437,4006.0,0.02,0.0,0.0,0.0,0.02
Racing,bitComposer Games,14214,2009.0,0.0,0.03,0.0,0.01,0.03
Racing,Yuke's,14715,2005.0,0.01,0.01,0.0,0.0,0.03
Racing,Xicat Interactive,14644,2003.0,0.02,0.01,0.0,0.0,0.03
Racing,Vir2L Studios,14834,2008.0,0.02,0.0,0.0,0.0,0.03
Racing,RTL,14258,2008.0,0.03,0.0,0.0,0.0,0.03
Racing,Phenomedia,14209,2008.0,0.03,0.0,0.0,0.0,0.03
Racing,Nobilis,14706,2008.0,0.0,0.02,0.0,0.0,0.03
Racing,Imagineer,13743,1999.0,0.03,0.01,0.0,0.0,0.04
Racing,Banpresto,13737,1995.0,0.0,0.0,0.04,0.0,0.04
Racing,1C Company,13726,2011.0,0.0,0.03,0.0,0.01,0.04
Racing,Agetec,13951,2009.0,0.03,0.0,0.0,0.0,0.04
Racing,Milestone S.r.l,30043,4032.0,0.0,0.05,0.0,0.01,0.05
Racing,Avalon Interactive,13044,2002.0,0.03,0.02,0.0,0.01,0.05
Racing,SCi,30206,4007.0,0.01,0.03,0.0,0.01,0.05
Racing,Dusenberry Martin Racing,29291,4032.0,0.05,0.0,0.0,0.01,0.05
Racing,The Learning Company,13067,2000.0,0.03,0.02,0.0,0.0,0.05
Racing,Conspiracy Entertainment,12458,2008.0,0.06,0.0,0.0,0.0,0.06
Racing,Big Ben Interactive,29811,4015.0,0.05,0.0,0.0,0.0,0.060000000000000005
Racing,505 Games,29310,4032.0,0.0,0.05,0.0,0.01,0.060000000000000005
Racing,Tomy Corporation,12242,1996.0,0.04,0.02,0.0,0.0,0.07
Racing,Telstar,11282,1998.0,0.05,0.03,0.0,0.01,0.08
Racing,Game Factory,26733,4013.0,0.06,0.02,0.0,0.01,0.09
Racing,Popcorn Arcade,61562,8028.0,0.07,0.0,0.0,0.0,0.09
Racing,JVC,27266,3993.0,0.05,0.03,0.0,0.0,0.09
Racing,Data Design Interactive,10970,2007.0,0.07,0.01,0.0,0.01,0.09
