Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Role-Playing,1C Company,16452,2009.0,0.0,0.01,0.0,0.0,0.01
Role-Playing,Irem Software Engineering,15992,2011.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,Michaelsoft,16045,2006.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,Arc System Works,16243,2013.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,SNK Playmore,16012,2008.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,Broccoli,16140,2009.0,0.0,0.0,0.01,0.0,0.01
Role-Playing,TopWare Interactive,16046,2015.0,0.0,0.01,0.0,0.0,0.01
Role-Playing,King Records,15078,2002.0,0.0,0.0,0.02,0.0,0.02
Role-Playing,Victor Interactive,15456,2001.0,0.01,0.01,0.0,0.0,0.02
Role-Playing,Koch Media,15568,2008.0,0.0,0.01,0.0,0.0,0.02
Role-Playing,Alchemist,15925,2012.0,0.0,0.0,0.02,0.0,0.02
Role-Playing,Codemasters Online,15310,2008.0,0.0,0.02,0.0,0.0,0.02
Role-Playing,Encore,15237,2005.0,0.0,0.02,0.0,0.0,0.02
Role-Playing,Takara,15128,2002.0,0.0,0.0,0.02,0.0,0.02
Role-Playing,GOA,14948,2008.0,0.0,0.02,0.0,0.0,0.02
Role-Playing,"Destination Software, Inc",14780,2004.0,0.02,0.01,0.0,0.0,0.03
Role-Playing,Nexon,14551,2010.0,0.0,0.0,0.03,0.0,0.03
Role-Playing,5pb,14619,2015.0,0.0,0.0,0.03,0.0,0.03
Role-Playing,CyberFront,14697,2013.0,0.0,0.0,0.03,0.0,0.03
Role-Playing,Culture Brain,14221,1994.0,0.0,0.0,0.03,0.0,0.03
Role-Playing,Xicat Interactive,14597,2002.0,0.02,0.01,0.0,0.0,0.03
Role-Playing,imageepoch Inc.,14262,2014.0,0.0,0.0,0.03,0.0,0.03
Role-Playing,Extreme Entertainment Group,14470,2015.0,0.02,0.0,0.01,0.0,0.03
Role-Playing,Compile,14323,1998.0,0.0,0.0,0.03,0.0,0.03
Role-Playing,Hudson Entertainment,31547,4002.0,0.02,0.0,0.0,0.0,0.04
Role-Playing,Iceberg Interactive,13947,2011.0,0.02,0.01,0.0,0.0,0.04
Role-Playing,Data East,13724,1995.0,0.0,0.0,0.04,0.0,0.04
Role-Playing,Kadokawa Games,29719,4027.0,0.0,0.0,0.05,0.0,0.05
Role-Playing,Titus,13115,2000.0,0.04,0.01,0.0,0.0,0.05
Role-Playing,Mindscape,13122,2003.0,0.04,0.01,0.0,0.0,0.05
Role-Playing,Max Five,13334,2001.0,0.03,0.02,0.0,0.0,0.05
Role-Playing,Nordic Games,12950,2015.0,0.04,0.0,0.0,0.01,0.05
Role-Playing,Arika,12961,2004.0,0.03,0.02,0.0,0.01,0.05
Role-Playing,Kemco,13020,1991.0,0.0,0.0,0.05,0.0,0.05
Role-Playing,Sunrise Interactive,12317,2000.0,0.0,0.0,0.06,0.0,0.06
Role-Playing,Game Factory,12378,2008.0,0.06,0.0,0.0,0.0,0.06
Role-Playing,Midas Interactive Entertainment,12671,2005.0,0.05,0.0,0.0,0.0,0.06
Role-Playing,Ascaron Entertainment GmbH,12479,2008.0,0.0,0.05,0.0,0.01,0.06
Role-Playing,ASCII Media Works,29422,4020.0,0.0,0.0,0.060000000000000005,0.0,0.060000000000000005
Role-Playing,Experience Inc.,46103,6045.0,0.0,0.0,0.060000000000000005,0.0,0.060000000000000005
Role-Playing,Locus,11737,1998.0,0.0,0.0,0.07,0.0,0.07
Role-Playing,Mercury Games,27635,4014.0,0.05,0.0,0.02,0.01,0.08
Role-Playing,Flight-Plan,11638,2007.0,0.0,0.0,0.08,0.0,0.08
Role-Playing,Aspyr,10977,2009.0,0.09,0.0,0.0,0.01,0.09
Role-Playing,Graffiti,26584,4017.0,0.09,0.0,0.0,0.0,0.09
Role-Playing,Empire Interactive,11034,2005.0,0.05,0.0,0.04,0.0,0.09
Role-Playing,Micro Cabin,10608,1996.0,0.0,0.0,0.1,0.0,0.1
Role-Playing,Starfish,77674,10053.0,0.0,0.0,0.1,0.0,0.1
Role-Playing,Image Epoch,10788,2012.0,0.0,0.0,0.1,0.0,0.1
Role-Playing,inXile Entertainment,10758,2015.0,0.02,0.06,0.0,0.01,0.1
Role-Playing,Aqua Plus,25813,4022.0,0.0,0.0,0.11,0.0,0.11
Role-Playing,Majesco Entertainment,26031,4018.0,0.09000000000000001,0.0,0.0,0.0,0.11
Role-Playing,TOHO,10333,1993.0,0.0,0.0,0.11,0.0,0.11
