Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Shooter,G.Rev,16266,2009.0,0.0,0.0,0.01,0.0,0.01
Shooter,LSP Games,16284,2003.0,0.01,0.0,0.0,0.0,0.01
Shooter,Jaleco,16138,1999.0,0.01,0.01,0.0,0.0,0.01
Shooter,MC2 Entertainment,15838,2005.0,0.0,0.01,0.0,0.0,0.02
Shooter,Funsta,15820,2006.0,0.02,0.0,0.0,0.0,0.02
Shooter,Gaga,15188,1996.0,0.0,0.0,0.02,0.0,0.02
Shooter,Nippon Ichi Software,15949,2016.0,0.01,0.0,0.0,0.0,0.02
Shooter,Phoenix Games,15354,2007.0,0.02,0.0,0.0,0.0,0.02
Shooter,Arika,15693,2008.0,0.0,0.0,0.02,0.0,0.02
Shooter,UFO Interactive,15500,2009.0,0.02,0.0,0.0,0.0,0.02
Shooter,Kemco,15366,2005.0,0.02,0.0,0.0,0.0,0.02
Shooter,Visco,15831,2011.0,0.02,0.0,0.0,0.0,0.02
Shooter,Warashi,15902,2007.0,0.0,0.0,0.02,0.0,0.02
Shooter,Lexicon Entertainment,15330,2008.0,0.02,0.0,0.0,0.0,0.02
Shooter,Jack of All Games,15158,2011.0,0.02,0.0,0.0,0.0,0.02
Shooter,Devolver Digital,15134,2010.0,0.0,0.02,0.0,0.0,0.02
Shooter,Irem Software Engineering,14896,1998.0,0.01,0.01,0.0,0.0,0.03
Shooter,Hip Interactive,14181,2005.0,0.03,0.01,0.0,0.0,0.03
Shooter,O-Games,14109,2010.0,0.03,0.0,0.0,0.0,0.03
Shooter,id Software,14602,1992.0,0.02,0.0,0.0,0.0,0.03
Shooter,ESP,14122,1998.0,0.0,0.0,0.03,0.0,0.03
Shooter,Starfish,13608,2007.0,0.04,0.0,0.0,0.0,0.04
Shooter,Avalon Interactive,14034,2003.0,0.03,0.01,0.0,0.0,0.04
Shooter,DHM Interactive,13800,2009.0,0.03,0.0,0.0,0.0,0.04
Shooter,Graffiti,13970,2009.0,0.03,0.0,0.0,0.0,0.04
Shooter,Time Warner Interactive,13909,1996.0,0.02,0.01,0.0,0.0,0.04
Shooter,Popcorn Arcade,13594,2008.0,0.04,0.0,0.0,0.0,0.04
Shooter,Xseed Games,13015,2015.0,0.02,0.02,0.0,0.01,0.05
Shooter,TechnoSoft,13068,1998.0,0.03,0.02,0.0,0.0,0.05
Shooter,5pb,46973,6030.0,0.0,0.0,0.05,0.0,0.05
Shooter,JVC,29612,3995.0,0.03,0.02,0.0,0.0,0.05
Shooter,Destineer,30532,4019.0,0.04,0.0,0.0,0.0,0.05
Shooter,Hudson Entertainment,12516,1998.0,0.05,0.01,0.0,0.0,0.06
Shooter,Nordic Games,28985,4026.0,0.02,0.03,0.0,0.01,0.06
Shooter,Tommo,12388,2007.0,0.06,0.0,0.0,0.0,0.06
Shooter,Telstar,12357,1995.0,0.04,0.02,0.0,0.0,0.06
Shooter,Altron,12231,2001.0,0.05,0.02,0.0,0.0,0.07
Shooter,Banpresto,11591,1998.0,0.0,0.0,0.07,0.01,0.08
Shooter,DreamCatcher Interactive,44298,6015.0,0.05,0.04,0.0,0.0,0.08
Shooter,Alchemist,44583,6032.0,0.0,0.0,0.08,0.0,0.08
Shooter,Milestone,11494,2008.0,0.08,0.0,0.0,0.0,0.08
Shooter,Mitsui,11478,1998.0,0.06,0.02,0.0,0.0,0.08
Shooter,Valcon Games,10878,2008.0,0.06,0.03,0.0,0.01,0.09
Shooter,O3 Entertainment,10913,2004.0,0.07,0.02,0.0,0.0,0.09
Shooter,PQube,26765,4018.0,0.08,0.0,0.0,0.0,0.09
Shooter,Groove Games,27196,4011.0,0.07,0.02,0.0,0.0,0.09
Shooter,Phantom EFX,10833,2009.0,0.09,0.0,0.0,0.01,0.09
Shooter,Big Ben Interactive,11231,2002.0,0.04,0.03,0.0,0.01,0.09
Shooter,Evolved Games,27007,4018.0,0.09,0.01,0.0,0.01,0.09999999999999999
Shooter,Enjoy Gaming ltd.,10714,2009.0,0.09,0.0,0.0,0.01,0.1
Shooter,Conspiracy Entertainment,26690,4020.0,0.08,0.0,0.0,0.0,0.1
Shooter,Interplay Productions,10751,1997.0,0.05,0.04,0.0,0.01,0.1
Shooter,From Software,10112,2002.0,0.04,0.01,0.06,0.0,0.11
Shooter,Titus,26649,4005.0,0.08,0.02,0.0,0.0,0.11
Shooter,Rage Software,10117,2002.0,0.08,0.02,0.0,0.0,0.11
Shooter,Atlus,26012,3991.0,0.0,0.0,0.11,0.0,0.11
Shooter,NDA Productions,9990,2002.0,0.09,0.02,0.0,0.0,0.12
Shooter,Bohemia Interactive,9891,2013.0,0.0,0.1,0.0,0.02,0.12
Shooter,Moss,26133,4021.0,0.1,0.0,0.02,0.01,0.13
Shooter,BMG Interactive Entertainment,24332,3993.0,0.08,0.05,0.0,0.01,0.14
Shooter,Tripwire Interactive,9316,2011.0,0.04,0.07,0.0,0.02,0.14
Shooter,SNK Playmore,23770,4010.0,0.08,0.05,0.0,0.01,0.15
Shooter,EA Games,8841,2012.0,0.07,0.06,0.0,0.02,0.15
Shooter,Swing! Entertainment,23579,4001.0,0.07,0.06,0.0,0.02,0.15000000000000002
Shooter,Essential Games,8240,2005.0,0.0,0.0,0.17,0.0,0.17
Shooter,Mastertronic,54482,8043.0,0.01,0.13,0.0,0.02,0.18
Shooter,DTP Entertainment,8155,2009.0,0.14,0.02,0.01,0.01,0.18
Shooter,Neko Entertainment,23544,4018.0,0.1,0.06,0.0,0.02,0.18
Shooter,Metro 3D,7965,2003.0,0.09,0.07,0.0,0.02,0.19
Shooter,Reef Entertainment,21598,4019.0,0.15000000000000002,0.03,0.0,0.02,0.2
Shooter,Gremlin Interactive Ltd,7623,1998.0,0.16,0.04,0.0,0.0,0.2
Shooter,Playlogic Game Factory,21535,4014.0,0.12,0.060000000000000005,0.0,0.03,0.2
Shooter,Cave,103574,14075.0,0.04,0.0,0.15000000000000002,0.0,0.2
Shooter,Psygnosis,37062,5987.0,0.11,0.08,0.0,0.01,0.2
Shooter,20th Century Fox Video Games,7150,1981.0,0.21,0.01,0.0,0.0,0.22
Shooter,Ocean,7104,1995.0,0.06,0.04,0.12,0.01,0.23
Shooter,Crave Entertainment,37926,6007.0,0.17,0.04,0.0,0.0,0.23
Shooter,Mattel Interactive,6942,1981.0,0.22,0.01,0.0,0.0,0.24
