Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Simulation,Blue Byte,16070,2001.0,0.0,0.01,0.0,0.0,0.01
Simulation,UIG Entertainment,16573,2016.0,0.0,0.01,0.0,0.0,0.01
Simulation,Success,16173,2009.0,0.0,0.0,0.01,0.0,0.01
Simulation,Paradox Development,16347,2016.0,0.0,0.01,0.0,0.0,0.01
Simulation,Ongakukan,16425,2006.0,0.0,0.0,0.01,0.0,0.01
Simulation,CDV Software Entertainment,16033,2008.0,0.0,0.01,0.0,0.0,0.01
Simulation,Happinet,16075,2015.0,0.0,0.0,0.01,0.0,0.01
Simulation,DSI Games,15398,2007.0,0.02,0.0,0.0,0.0,0.02
Simulation,Ghostlight,15492,2008.0,0.0,0.02,0.0,0.0,0.02
Simulation,Graphsim Entertainment,15076,2005.0,0.0,0.02,0.0,0.0,0.02
Simulation,Hamster Corporation,15522,2006.0,0.0,0.0,0.02,0.0,0.02
Simulation,Kadokawa Shoten,15021,2004.0,0.0,0.0,0.02,0.0,0.02
Simulation,Kadokawa Games,15196,2014.0,0.0,0.0,0.02,0.0,0.02
Simulation,Masque Publishing,15971,2011.0,0.01,0.0,0.0,0.0,0.02
Simulation,Midas Interactive Entertainment,15570,2009.0,0.0,0.02,0.0,0.0,0.02
Simulation,Telegames,15939,1999.0,0.01,0.01,0.0,0.0,0.02
Simulation,Imageworks,15482,1995.0,0.0,0.0,0.02,0.0,0.02
Simulation,Lighthouse Interactive,15966,2007.0,0.0,0.01,0.0,0.0,0.02
Simulation,fonfun,15273,2008.0,0.0,0.0,0.02,0.0,0.02
Simulation,Astragon,14969,2016.0,0.0,0.02,0.0,0.0,0.02
Simulation,Broccoli,14903,2008.0,0.0,0.0,0.03,0.0,0.03
Simulation,Just Flight,14125,2010.0,0.0,0.03,0.0,0.01,0.03
Simulation,Kando Games,14102,2006.0,0.02,0.01,0.0,0.0,0.03
Simulation,Lexicon Entertainment,14820,2007.0,0.02,0.0,0.0,0.0,0.03
Simulation,TDK Core,14283,2007.0,0.0,0.0,0.03,0.0,0.03
Simulation,Aerosoft,31538,4023.0,0.01,0.02,0.0,0.0,0.03
Simulation,FuRyu,14813,2015.0,0.0,0.0,0.03,0.0,0.03
Simulation,Conspiracy Entertainment,14293,2007.0,0.03,0.0,0.0,0.0,0.03
Simulation,Vivendi Games,14889,2003.0,0.0,0.02,0.0,0.0,0.03
Simulation,Valcon Games,14882,2009.0,0.02,0.0,0.0,0.0,0.03
Simulation,Enterbrain,13570,2001.0,0.0,0.0,0.04,0.0,0.04
Simulation,5pb,31013,4025.0,0.0,0.0,0.04,0.0,0.04
Simulation,7G//AMES,31307,4022.0,0.0,0.03,0.0,0.0,0.04
Simulation,Riverhillsoft,13460,1995.0,0.0,0.0,0.04,0.0,0.04
Simulation,Rocket Company,13656,2007.0,0.0,0.0,0.04,0.0,0.04
Simulation,PQube,12863,2010.0,0.04,0.01,0.0,0.0,0.05
Simulation,Graffiti,12963,2009.0,0.05,0.0,0.0,0.0,0.05
Simulation,Zushi Games,29767,4018.0,0.04,0.0,0.0,0.0,0.05
Simulation,Phantagram,13058,2002.0,0.03,0.01,0.01,0.0,0.05
Simulation,Monte Christo Multimedia,13405,2007.0,0.0,0.04,0.0,0.01,0.05
Simulation,Ertain,13007,2007.0,0.05,0.0,0.0,0.0,0.05
Simulation,Foreign Media Games,28885,4020.0,0.05,0.01,0.0,0.0,0.06
Simulation,Creative Core,12791,2008.0,0.0,0.0,0.06,0.0,0.06
Simulation,ESP,12326,1998.0,0.0,0.0,0.06,0.0,0.06
Simulation,Pack-In-Video,12387,1995.0,0.0,0.0,0.06,0.0,0.06
Simulation,NEC Interchannel,12651,1996.0,0.0,0.0,0.06,0.0,0.06
Simulation,Office Create,28408,4027.0,0.0,0.0,0.06,0.0,0.06
Simulation,Infogrames,12393,2002.0,0.03,0.02,0.0,0.0,0.06
Simulation,GT Interactive,12116,1997.0,0.04,0.03,0.0,0.0,0.07
Simulation,Zoo Games,11861,2010.0,0.07,0.0,0.0,0.0,0.07
Simulation,Mad Catz,11828,2012.0,0.07,0.0,0.0,0.01,0.07
Simulation,Elite,12062,1996.0,0.04,0.03,0.0,0.0,0.07
Simulation,RTL,27804,4018.0,0.03,0.04,0.0,0.01,0.08
Simulation,Micro Cabin,11256,1995.0,0.0,0.0,0.08,0.0,0.08
Simulation,Spike,11495,2004.0,0.0,0.0,0.08,0.0,0.08
Simulation,Avanquest,27765,4018.0,0.05,0.02,0.0,0.0,0.08
Simulation,Asylum Entertainment,26415,4020.0,0.09,0.0,0.0,0.0,0.09
Simulation,Hearty Robin,11164,1996.0,0.0,0.0,0.08,0.01,0.09
Simulation,Asmik Ace Entertainment,11093,2000.0,0.0,0.0,0.09,0.0,0.09
Simulation,Origin Systems,11248,1997.0,0.05,0.03,0.0,0.01,0.09
Simulation,Mastiff,10502,2004.0,0.07,0.03,0.0,0.0,0.1
Simulation,Avalon Interactive,10597,1999.0,0.06,0.04,0.0,0.01,0.1
Simulation,Interplay,27106,3998.0,0.04,0.04,0.0,0.01,0.1
Simulation,Swing! Entertainment,10235,2000.0,0.05,0.04,0.0,0.01,0.11
Simulation,Atlus,10211,2008.0,0.1,0.0,0.0,0.01,0.11
Simulation,Zoo Digital Publishing,10416,2003.0,0.08,0.03,0.0,0.0,0.11
Simulation,O3 Entertainment,10133,2007.0,0.1,0.0,0.0,0.01,0.11
Simulation,DHM Interactive,9775,2007.0,0.11,0.0,0.0,0.01,0.12
Simulation,ArtDink,41140,6024.0,0.0,0.0,0.13,0.0,0.13
Simulation,Mercury Games,24634,4016.0,0.12000000000000001,0.0,0.0,0.01,0.13
Simulation,Game Life,9659,2007.0,0.09,0.02,0.0,0.01,0.13
Simulation,Tomy Corporation,9472,2010.0,0.12,0.0,0.0,0.01,0.13
Simulation,Excalibur Publishing,40701,6033.0,0.0,0.12,0.0,0.02,0.14
Simulation,Global Star,24417,4008.0,0.08,0.05,0.0,0.01,0.14
Simulation,Touchstone,9119,2007.0,0.07,0.06,0.0,0.02,0.14
Simulation,Marvelous Entertainment,8858,2015.0,0.04,0.0,0.1,0.01,0.15
Simulation,Little Orbit,23660,4020.0,0.14,0.0,0.0,0.0,0.15
Simulation,Capcom,24425,4012.0,0.13999999999999999,0.01,0.0,0.01,0.15
Simulation,"Destination Software, Inc",23595,4011.0,0.13,0.01,0.0,0.01,0.15000000000000002
Simulation,Imagineer,8577,1991.0,0.0,0.0,0.16,0.0,0.16
Simulation,JoWood Productions,25113,4013.0,0.14,0.01,0.0,0.01,0.16
Simulation,City Interactive,23647,2009.0,0.15,0.01,0.0,0.01,0.18
Simulation,Core Design Ltd.,7949,1994.0,0.1,0.07,0.0,0.01,0.19
Simulation,Bethesda Softworks,22016,4010.0,0.11000000000000001,0.060000000000000005,0.0,0.02,0.19
Simulation,DTP Entertainment,38126,6027.0,0.17,0.01,0.0,0.02,0.2
Simulation,Aspyr,7596,2009.0,0.19,0.0,0.0,0.01,0.2
Simulation,DreamCatcher Interactive,51355,8035.0,0.23,0.0,0.0,0.01,0.23999999999999996
Simulation,MTO,52457,8030.0,0.0,0.0,0.24,0.0,0.24
Simulation,GSP,22015,4016.0,0.22999999999999998,0.0,0.0,0.01,0.25
Simulation,Empire Interactive,6658,2007.0,0.09,0.14,0.0,0.02,0.25
Simulation,Paradox Interactive,51344,8045.0,0.01,0.21000000000000002,0.0,0.03,0.26
Simulation,Indie Games,6529,2004.0,0.06,0.05,0.14,0.02,0.26
Simulation,Virgin Interactive,18817,3991.0,0.15000000000000002,0.1,0.0,0.02,0.27
Simulation,Microprose,6302,1996.0,0.15,0.1,0.0,0.02,0.27
Simulation,Crave Entertainment,18191,4022.0,0.27,0.0,0.0,0.02,0.28
Simulation,Agetec,5744,2003.0,0.07,0.06,0.16,0.02,0.31
Simulation,SquareSoft,5786,1997.0,0.0,0.0,0.29,0.02,0.31
Simulation,Victor Interactive,18515,3998.0,0.0,0.0,0.31,0.0,0.31
Simulation,D3Publisher,80522,12063.0,0.0,0.0,0.31000000000000005,0.0,0.31000000000000005
Simulation,ASCII Entertainment,5646,2001.0,0.0,0.0,0.32,0.0,0.32
Simulation,Human Entertainment,5672,1997.0,0.0,0.0,0.3,0.02,0.32
Simulation,Sammy Corporation,15759,4004.0,0.19,0.14,0.0,0.05,0.38
Simulation,bitComposer Games,45177,8044.0,0.16,0.17,0.0,0.06999999999999999,0.38
Simulation,Codemasters,30970,6015.0,0.24000000000000002,0.16,0.0,0.04,0.44
Simulation,SouthPeak Games,14944,4018.0,0.4,0.03,0.0,0.03,0.46
Simulation,Pack In Soft,4117,1999.0,0.25,0.06,0.11,0.06,0.48
Simulation,Hect,28105,5982.0,0.0,0.0,0.5,0.0,0.5
Simulation,Rondomedia,19539,4018.0,0.0,0.44,0.0,0.09,0.53
Simulation,Enix Corporation,13118,3990.0,0.0,0.0,0.55,0.04,0.59
Simulation,Banpresto,21253,6018.0,0.0,0.0,0.7,0.0,0.7
Simulation,Marvelous Interactive,66281,12049.0,0.38,0.0,0.33000000000000007,0.01,0.72
Simulation,Natsume,27385,6030.0,0.41000000000000003,0.08,0.22,0.04,0.75
Simulation,Hudson Entertainment,2606,1997.0,0.0,0.0,0.74,0.05,0.79
Simulation,From Software,63364,12037.0,0.13,0.09,0.54,0.04,0.8
Simulation,Psygnosis,33026,7990.0,0.48,0.32999999999999996,0.0,0.060000000000000005,0.85
Simulation,Disney Interactive Studios,42501,10059.0,0.53,0.28,0.0,0.08,0.8799999999999999
Simulation,Kalypso Media,72211,10064.0,0.33,0.39999999999999997,0.05,0.09999999999999998,0.8800000000000001
Simulation,Take-Two Interactive,38743,8010.0,0.49,0.33999999999999997,0.0,0.06999999999999999,0.8900000000000001
Simulation,Jorudan,17177,6004.0,0.0,0.0,0.9299999999999999,0.02,0.95
Simulation,Eidos Interactive,89634,16058.0,0.5700000000000001,0.35000000000000003,0.0,0.09999999999999999,1.01
Simulation,Hudson Soft,29170,6010.0,0.06,0.05,0.92,0.01,1.03
Simulation,Destineer,130640,22098.0,0.9800000000000002,0.0,0.0,0.05,1.0300000000000002
Simulation,Titus,11100,4003.0,0.5700000000000001,0.38,0.0,0.12,1.07
Simulation,Metro 3D,19359,6005.0,0.37,0.28,0.42000000000000004,0.09999999999999999,1.1600000000000001
Simulation,Game Factory,7383,4015.0,1.19,0.01,0.0,0.1,1.3
Simulation,Nobilis,45412,10043.0,1.1,0.13,0.0,0.09999999999999999,1.32
Simulation,Square Enix,43782,8033.0,0.6000000000000001,0.05,0.67,0.05,1.37
Simulation,Koch Media,49922,12089.0,0.52,0.8000000000000002,0.0,0.19000000000000003,1.5
Simulation,Unknown,146665,10058.0,1.1,0.24999999999999997,0.02,0.12999999999999998,1.5000000000000004
Simulation,Deep Silver,196822,34156.0,1.03,0.4100000000000001,0.0,0.17000000000000004,1.6400000000000006
Simulation,Taito,76941,14023.0,0.0,0.0,1.55,0.17,1.7200000000000002
Simulation,Majesco Entertainment,121961,24098.0,1.7599999999999998,0.13,0.0,0.11999999999999998,2.03
Simulation,Tecmo Koei,154535,26078.0,0.47,0.3,1.2000000000000002,0.14,2.1
Simulation,Focus Home Interactive,48288,12076.0,0.31,2.0700000000000003,0.02,0.37999999999999995,2.81
Simulation,Maxis,16924,5976.0,1.88,1.32,0.0,0.19,3.39
Simulation,Sega,103180,24066.0,0.36,1.9,1.08,0.12,3.46
Simulation,LucasArts,25400,12011.0,2.59,1.2900000000000003,0.03,0.19999999999999998,4.11
Simulation,Rising Star Games,69374,22077.0,3.1100000000000003,0.38,0.8400000000000001,0.26999999999999996,4.58
Simulation,Sony Computer Entertainment Europe,1480,4005.0,2.94,0.9000000000000001,0.7,0.35,4.88
Simulation,Atari,53513,18043.0,1.95,0.21,2.5300000000000002,0.16,4.88
Simulation,THQ,204587,54204.0,5.399999999999999,1.44,0.49,0.5500000000000002,7.840000000000001
Simulation,Activision,167623,46148.0,5.33,2.1399999999999997,0.02,0.8000000000000003,8.26
Simulation,Sony Computer Entertainment,84390,30008.0,3.1300000000000003,2.4,2.3800000000000003,0.7500000000000001,8.67
Simulation,Namco Bandai Games,226784,56206.0,1.6800000000000004,0.8900000000000001,7.38,0.4600000000000001,10.429999999999998
