Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Sports,"Destination Software, Inc",16448,2004.0,0.01,0.0,0.0,0.0,0.01
Sports,"Interworks Unlimited, Inc.",16084,2012.0,0.01,0.0,0.0,0.0,0.01
Sports,DSI Games,15600,2007.0,0.02,0.0,0.0,0.0,0.02
Sports,Mumbo Jumbo,15363,2008.0,0.02,0.0,0.0,0.0,0.02
Sports,CTO SpA,15210,1997.0,0.01,0.01,0.0,0.0,0.02
Sports,Virtual Play Games,15652,2010.0,0.02,0.0,0.0,0.0,0.02
Sports,Mastertronic,14991,2006.0,0.01,0.01,0.0,0.0,0.02
Sports,Athena,15375,1999.0,0.02,0.0,0.0,0.0,0.02
Sports,Technos Japan Corporation,15556,1995.0,0.0,0.0,0.02,0.0,0.02
Sports,BMG Interactive Entertainment,14219,1996.0,0.02,0.01,0.0,0.0,0.03
Sports,Mad Catz,14567,2006.0,0.02,0.01,0.0,0.0,0.03
Sports,Seta Corporation,14759,1995.0,0.0,0.0,0.03,0.0,0.03
Sports,Blast! Entertainment Ltd,30924,4018.0,0.04,0.0,0.0,0.0,0.04
Sports,Reef Entertainment,13589,2009.0,0.02,0.02,0.0,0.0,0.04
Sports,MLB.com,13531,2016.0,0.04,0.0,0.0,0.0,0.04
Sports,Microids,13623,2002.0,0.03,0.01,0.0,0.0,0.04
Sports,Summitsoft,13502,2004.0,0.03,0.01,0.0,0.0,0.04
Sports,System 3 Arcade Software,14035,2006.0,0.03,0.0,0.0,0.0,0.04
Sports,49Games,13579,2009.0,0.0,0.04,0.0,0.0,0.04
Sports,Genki,13698,2007.0,0.0,0.0,0.04,0.0,0.04
Sports,Tommo,13507,2011.0,0.04,0.0,0.0,0.0,0.04
Sports,Navarre Corp,13266,2008.0,0.04,0.0,0.0,0.0,0.05
Sports,Storm City Games,13302,2010.0,0.04,0.0,0.0,0.0,0.05
Sports,UFO Interactive,29250,4018.0,0.05,0.0,0.0,0.0,0.05
Sports,Playlogic Game Factory,13434,2009.0,0.04,0.0,0.0,0.0,0.05
Sports,Psygnosis,29387,3994.0,0.03,0.02,0.0,0.0,0.06
Sports,PQube,29471,4022.0,0.0,0.04,0.0,0.01,0.06
Sports,DigiCube,12703,2002.0,0.0,0.0,0.06,0.0,0.06
Sports,Rocket Company,12050,2011.0,0.0,0.0,0.07,0.0,0.07
Sports,Misawa,28839,3987.0,0.0,0.0,0.07,0.0,0.07
Sports,Vir2L Studios,12027,2008.0,0.06,0.0,0.0,0.0,0.07
Sports,Avanquest,28226,4026.0,0.05,0.02,0.0,0.0,0.08
Sports,Nordic Games,28514,4030.0,0.02,0.05,0.0,0.01,0.08
Sports,Crystal Dynamics,11442,1995.0,0.04,0.03,0.0,0.01,0.08
Sports,Conspiracy Entertainment,11259,2008.0,0.04,0.03,0.0,0.01,0.08
Sports,Hudson Entertainment,10886,2009.0,0.09,0.0,0.0,0.01,0.09
Sports,Griffin International,11042,2010.0,0.08,0.0,0.0,0.01,0.09
Sports,DreamCatcher Interactive,10978,2003.0,0.04,0.03,0.0,0.01,0.09
Sports,Pinnacle,10538,2008.0,0.0,0.1,0.0,0.0,0.1
Sports,Simon & Schuster Interactive,10255,2002.0,0.08,0.02,0.0,0.0,0.11
Sports,Time Warner Interactive,26464,3991.0,0.05,0.04,0.0,0.01,0.11
Sports,Tradewest,43094,6030.0,0.02,0.060000000000000005,0.0,0.01,0.11
Sports,Vivendi Games,25623,4005.0,0.09,0.02,0.0,0.0,0.11
Sports,Xicat Interactive,10239,2002.0,0.05,0.04,0.0,0.01,0.11
Sports,Nordcurrent,25933,4020.0,0.1,0.0,0.0,0.01,0.11
Sports,Ackkstudios,25595,4024.0,0.0,0.0,0.11000000000000001,0.0,0.11000000000000001
Sports,Enix Corporation,25251,4002.0,0.0,0.0,0.12,0.0,0.12
Sports,SPS,9888,1996.0,0.07,0.04,0.0,0.01,0.12
Sports,T&E Soft,9931,1993.0,0.0,0.0,0.12,0.0,0.12
