Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Strategy,Funbox Media,16314,2015.0,0.0,0.01,0.0,0.0,0.01
Strategy,Ascaron Entertainment,16292,2012.0,0.0,0.01,0.0,0.0,0.01
Strategy,Gust,16376,1996.0,0.0,0.0,0.01,0.0,0.01
Strategy,Koch Media,16477,2016.0,0.0,0.01,0.0,0.0,0.01
Strategy,Ackkstudios,16017,2012.0,0.0,0.0,0.01,0.0,0.01
Strategy,New World Computing,16076,1992.0,0.01,0.0,0.0,0.0,0.01
Strategy,Interchannel-Holon,16513,2007.0,0.0,0.0,0.01,0.0,0.01
Strategy,Trion Worlds,16569,2012.0,0.01,0.0,0.0,0.0,0.01
Strategy,EON Digital Entertainment,16242,1999.0,0.01,0.0,0.0,0.0,0.01
Strategy,Kadokawa Shoten,15050,2012.0,0.0,0.0,0.02,0.0,0.02
Strategy,Gamecock,15029,2008.0,0.0,0.02,0.0,0.0,0.02
Strategy,Titus,15489,2002.0,0.01,0.01,0.0,0.0,0.02
Strategy,Mamba Games,15816,2010.0,0.0,0.01,0.0,0.0,0.02
Strategy,Mumbo Jumbo,15824,2008.0,0.01,0.0,0.0,0.0,0.02
Strategy,Storm City Games,15311,2010.0,0.02,0.0,0.0,0.0,0.02
Strategy,Blue Byte,15175,2001.0,0.0,0.02,0.0,0.0,0.02
Strategy,Nordic Games,32612,4032.0,0.0,0.02,0.0,0.0,0.02
Strategy,CyberFront,32153,4020.0,0.0,0.0,0.03,0.0,0.03
Strategy,Irem Software Engineering,14802,2010.0,0.0,0.0,0.03,0.0,0.03
Strategy,Hudson Soft,14518,1998.0,0.02,0.01,0.0,0.0,0.03
Strategy,Strategy First,14691,2001.0,0.0,0.02,0.0,0.0,0.03
Strategy,Pinnacle,14468,2008.0,0.0,0.02,0.0,0.01,0.03
Strategy,Angel Studios,14515,1995.0,0.0,0.0,0.03,0.0,0.03
Strategy,System Soft,49068,6031.0,0.0,0.0,0.03,0.0,0.03
Strategy,Sunflowers,14418,2004.0,0.0,0.02,0.0,0.01,0.03
Strategy,Agetec,14540,1997.0,0.02,0.01,0.0,0.0,0.03
Strategy,Iceberg Interactive,30772,4023.0,0.0,0.04,0.0,0.0,0.04
Strategy,D3Publisher,48065,6027.0,0.0,0.0,0.04,0.0,0.04
Strategy,Essential Games,13850,2006.0,0.01,0.0,0.03,0.0,0.04
Strategy,Kool Kizz,13543,2003.0,0.03,0.01,0.0,0.0,0.04
Strategy,Alawar Entertainment,13666,2009.0,0.0,0.03,0.0,0.01,0.04
Strategy,Flight-Plan,13801,2009.0,0.0,0.0,0.04,0.0,0.04
